"modification_probability"	"count"	"element"
2.8	5166	"3"
2.8	2441	"22"
2.8	1392	"21"
2.8	3077	"20"
2.8	7369	"2"
2.8	5338	"19"
2.8	2134	"18"
2.8	5587	"17"
2.8	4302	"16"
2.8	3506	"15"
2.8	3300	"14"
2.8	2343	"13"
2.8	4668	"12"
2.8	5184	"11"
2.8	4834	"10"
2.8	9149	"1"
2.9	322	"Y"
2.9	3396	"X"
2.9	5522	"9"
2.9	5302	"8"
2.9	6489	"7"
2.9	6420	"6"
2.9	6154	"5"
2.9	5210	"4"
2.9	6533	"3"
2.9	3140	"22"
2.9	1653	"21"
2.9	3840	"20"
2.9	8815	"2"
2.9	6764	"19"
2.9	2700	"18"
2.9	7067	"17"
2.9	5352	"16"
2.9	4294	"15"
2.9	4147	"14"
2.9	2789	"13"
2.9	5621	"12"
2.9	6407	"11"
2.9	5847	"10"
2.9	11574	"1"
3	336	"Y"
3	3781	"X"
3	6712	"9"
3	6347	"8"
3	7649	"7"
3	7947	"6"
3	7316	"5"
3	6170	"4"
3	7617	"3"
3	3796	"22"
3	1910	"21"
3	4542	"20"
3	10779	"2"
3	8132	"19"
3	3145	"18"
3	8311	"17"
3	6345	"16"
3	5159	"15"
3	4904	"14"
3	3417	"13"
3	6829	"12"
3	7761	"11"
3	6738	"10"
3	13946	"1"
3.1	409	"Y"
3.1	4162	"X"
3.1	1	"MT"
3.1	7641	"9"
3.1	7080	"8"
3.1	8722	"7"
3.1	9018	"6"
3.1	8237	"5"
3.1	7103	"4"
3.1	8762	"3"
3.1	4202	"22"
3.1	2162	"21"
3.1	5006	"20"
3.1	12154	"2"
3.1	9486	"19"
3.1	3567	"18"
3.1	9479	"17"
3.1	7586	"16"
3.1	5895	"15"
3.1	5442	"14"
3.1	3909	"13"
3.1	7840	"12"
3.1	8905	"11"
3.1	7724	"10"
3.1	15867	"1"
3.2	410	"Y"
3.2	4429	"X"
3.2	1	"MT"
3.2	8373	"9"
3.2	7724	"8"
3.2	9449	"7"
3.2	9728	"6"
3.2	8906	"5"
3.2	7801	"4"
3.2	9608	"3"
3.2	4507	"22"
3.2	2319	"21"
3.2	5284	"20"
3.2	13230	"2"
3.2	10296	"19"
3.2	3881	"18"
3.2	10512	"17"
3.2	8021	"16"
3.2	6370	"15"
3.2	6019	"14"
3.2	4267	"13"
3.2	8421	"12"
3.2	9459	"11"
3.2	8590	"10"
3.2	17370	"1"
3.3	402	"Y"
3.3	4491	"X"
3.3	6	"MT"
3.3	8562	"9"
3.3	7973	"8"
3.3	9626	"7"
3.3	10256	"6"
3.3	9164	"5"
3.3	7995	"4"
3.3	9984	"3"
3.3	4570	"22"
3.3	2420	"21"
3.3	5502	"20"
3.3	13638	"2"
3.3	10639	"19"
3.3	3864	"18"
3.3	10843	"17"
3.3	8389	"16"
3.3	6664	"15"
3.3	6312	"14"
3.3	4375	"13"
3.3	8809	"12"
3.3	9950	"11"
3.3	8761	"10"
3.3	18149	"1"
3.4	393	"Y"
3.4	4598	"X"
3.4	11	"MT"
3.4	8644	"9"
3.4	7858	"8"
3.4	9880	"7"
3.4	10224	"6"
3.4	9213	"5"
3.4	7861	"4"
3.4	9985	"3"
3.4	4686	"22"
3.4	2490	"21"
3.4	5629	"20"
3.4	13765	"2"
3.4	11157	"19"
3.4	3926	"18"
3.4	10981	"17"
3.4	8350	"16"
3.4	6324	"15"
3.4	6120	"14"
3.4	4370	"13"
3.4	8860	"12"
3.4	9969	"11"
3.4	8713	"10"
3.4	18183	"1"
3.5	431	"Y"
3.5	4508	"X"
3.5	20	"MT"
3.5	8253	"9"
3.5	7764	"8"
3.5	9433	"7"
3.5	9903	"6"
3.5	8970	"5"
3.5	7707	"4"
3.5	9620	"3"
3.5	4377	"22"
3.5	2325	"21"
3.5	5287	"20"
3.5	12840	"2"
3.5	10910	"19"
3.5	3674	"18"
3.5	10497	"17"
3.5	7976	"16"
3.5	6125	"15"
3.5	5988	"14"
3.5	4244	"13"
3.5	8650	"12"
3.5	9557	"11"
3.5	8395	"10"
3.5	17403	"1"
3.6	445	"Y"
3.6	4410	"X"
3.6	23	"MT"
3.6	7575	"9"
3.6	7183	"8"
3.6	8970	"7"
3.6	9359	"6"
3.6	8450	"5"
3.6	7322	"4"
3.6	8983	"3"
3.6	4130	"22"
3.6	2254	"21"
3.6	4845	"20"
3.6	12082	"2"
3.6	10072	"19"
3.6	3438	"18"
3.6	9915	"17"
3.6	7592	"16"
3.6	5669	"15"
3.6	5690	"14"
3.6	3922	"13"
3.6	7971	"12"
3.6	9075	"11"
3.6	8018	"10"
3.6	16663	"1"
3.7	398	"Y"
3.7	4251	"X"
3.7	52	"MT"
3.7	7107	"9"
3.7	6614	"8"
3.7	8139	"7"
3.7	8445	"6"
3.7	7615	"5"
3.7	6747	"4"
3.7	8349	"3"
