"modification_probability"	"count"	"element"
27.6	200	"14"
27.6	246	"13"
27.6	308	"12"
27.6	333	"11"
27.6	315	"10"
27.6	499	"1"
27.7	45	"Y"
27.7	261	"X"
27.7	302	"9"
27.7	374	"8"
27.7	432	"7"
27.7	368	"6"
27.7	440	"5"
27.7	470	"4"
27.7	429	"3"
27.7	112	"22"
27.7	100	"21"
27.7	189	"20"
27.7	557	"2"
27.7	166	"19"
27.7	210	"18"
27.7	229	"17"
27.7	254	"16"
27.7	212	"15"
27.7	210	"14"
27.7	251	"13"
27.7	302	"12"
27.7	335	"11"
27.7	319	"10"
27.7	574	"1"
27.8	36	"Y"
27.8	279	"X"
27.8	308	"9"
27.8	370	"8"
27.8	409	"7"
27.8	381	"6"
27.8	433	"5"
27.8	472	"4"
27.8	416	"3"
27.8	126	"22"
27.8	104	"21"
27.8	193	"20"
27.8	532	"2"
27.8	139	"19"
27.8	218	"18"
27.8	222	"17"
27.8	245	"16"
27.8	223	"15"
27.8	229	"14"
27.8	257	"13"
27.8	315	"12"
27.8	337	"11"
27.8	354	"10"
27.8	551	"1"
27.9	46	"Y"
27.9	262	"X"
27.9	277	"9"
27.9	355	"8"
27.9	384	"7"
27.9	379	"6"
27.9	456	"5"
27.9	457	"4"
27.9	440	"3"
27.9	104	"22"
27.9	107	"21"
27.9	186	"20"
27.9	613	"2"
27.9	146	"19"
27.9	201	"18"
27.9	239	"17"
27.9	216	"16"
27.9	228	"15"
27.9	235	"14"
27.9	242	"13"
27.9	323	"12"
27.9	345	"11"
27.9	334	"10"
27.9	565	"1"
28	59	"Y"
28	240	"X"
28	275	"9"
28	411	"8"
28	360	"7"
28	372	"6"
28	440	"5"
28	426	"4"
28	447	"3"
28	125	"22"
28	114	"21"
28	214	"20"
28	575	"2"
28	156	"19"
28	229	"18"
28	220	"17"
28	246	"16"
28	206	"15"
28	194	"14"
28	241	"13"
28	291	"12"
28	361	"11"
28	346	"10"
28	566	"1"
28.1	50	"Y"
28.1	285	"X"
28.1	306	"9"
28.1	386	"8"
28.1	369	"7"
28.1	376	"6"
28.1	433	"5"
28.1	448	"4"
28.1	419	"3"
28.1	122	"22"
28.1	93	"21"
28.1	215	"20"
28.1	560	"2"
28.1	181	"19"
28.1	217	"18"
28.1	193	"17"
28.1	267	"16"
28.1	222	"15"
28.1	225	"14"
28.1	262	"13"
28.1	309	"12"
28.1	318	"11"
28.1	345	"10"
28.1	514	"1"
28.2	35	"Y"
28.2	218	"X"
28.2	257	"9"
28.2	386	"8"
28.2	399	"7"
28.2	382	"6"
28.2	440	"5"
28.2	446	"4"
28.2	456	"3"
28.2	138	"22"
28.2	129	"21"
28.2	196	"20"
28.2	580	"2"
28.2	157	"19"
28.2	212	"18"
28.2	213	"17"
28.2	282	"16"
28.2	242	"15"
28.2	202	"14"
28.2	236	"13"
28.2	313	"12"
28.2	391	"11"
28.2	353	"10"
28.2	558	"1"
28.3	44	"Y"
28.3	253	"X"
28.3	288	"9"
28.3	399	"8"
28.3	410	"7"
28.3	371	"6"
28.3	432	"5"
28.3	422	"4"
28.3	440	"3"
28.3	122	"22"
28.3	116	"21"
28.3	218	"20"
28.3	585	"2"
28.3	189	"19"
28.3	223	"18"
28.3	230	"17"
28.3	235	"16"
28.3	233	"15"
28.3	207	"14"
28.3	259	"13"
28.3	307	"12"
28.3	381	"11"
28.3	349	"10"
28.3	580	"1"
28.4	39	"Y"
28.4	272	"X"
28.4	326	"9"
28.4	428	"8"
28.4	358	"7"
28.4	411	"6"
28.4	423	"5"
28.4	445	"4"
28.4	447	"3"
28.4	138	"22"
28.4	117	"21"
28.4	206	"20"
28.4	594	"2"
28.4	171	"19"
28.4	187	"18"
28.4	199	"17"
28.4	257	"16"
28.4	206	"15"
28.4	233	"14"
28.4	274	"13"
28.4	311	"12"
28.4	343	"11"
28.4	359	"10"
28.4	579	"1"
28.5	47	"Y"
28.5	275	"X"
28.5	298	"9"
28.5	380	"8"
28.5	412	"7"
28.5	384	"6"
28.5	432	"5"
28.5	517	"4"
28.5	465	"3"
28.5	121	"22"
28.5	97	"21"
28.5	190	"20"
28.5	600	"2"
28.5	153	"19"
28.5	206	"18"
28.5	216	"17"
28.5	253	"16"
28.5	234	"15"
28.5	225	"14"
28.5	279	"13"
28.5	309	"12"
28.5	356	"11"
28.5	351	"10"
28.5	561	"1"
28.6	54	"Y"
28.6	270	"X"
28.6	298	"9"
28.6	414	"8"
28.6	400	"7"
28.6	371	"6"
28.6	449	"5"
28.6	469	"4"
28.6	454	"3"
28.6	107	"22"
28.6	116	"21"
28.6	195	"20"
28.6	566	"2"
28.6	156	"19"
28.6	220	"18"
28.6	214	"17"
28.6	264	"16"
28.6	205	"15"
28.6	190	"14"
28.6	270	"13"
28.6	284	"12"
28.6	344	"11"
28.6	368	"10"
28.6	617	"1"
28.7	53	"Y"
28.7	256	"X"
28.7	300	"9"
28.7	398	"8"
28.7	374	"7"
28.7	374	"6"
28.7	427	"5"
28.7	494	"4"
28.7	443	"3"
28.7	110	"22"
28.7	115	"21"
28.7	194	"20"
28.7	580	"2"
28.7	165	"19"
28.7	220	"18"
28.7	198	"17"
28.7	256	"16"
28.7	204	"15"
28.7	251	"14"
28.7	267	"13"
28.7	320	"12"
28.7	354	"11"
28.7	340	"10"
28.7	565	"1"
28.8	44	"Y"
28.8	260	"X"
28.8	298	"9"
28.8	364	"8"
28.8	424	"7"
28.8	425	"6"
28.8	457	"5"
28.8	422	"4"
28.8	461	"3"
28.8	115	"22"
28.8	119	"21"
28.8	193	"20"
28.8	593	"2"
28.8	178	"19"
28.8	211	"18"
28.8	242	"17"
28.8	245	"16"
28.8	218	"15"
28.8	216	"14"
28.8	260	"13"
28.8	302	"12"
28.8	336	"11"
28.8	355	"10"
28.8	618	"1"
28.9	53	"Y"
28.9	265	"X"
28.9	339	"9"
28.9	398	"8"
28.9	392	"7"
28.9	355	"6"
28.9	425	"5"
28.9	448	"4"
28.9	473	"3"
28.9	121	"22"
28.9	110	"21"
28.9	199	"20"
28.9	612	"2"
28.9	167	"19"
28.9	204	"18"
28.9	220	"17"
28.9	252	"16"
28.9	236	"15"
28.9	225	"14"
28.9	234	"13"
28.9	336	"12"
28.9	365	"11"
28.9	348	"10"
28.9	595	"1"
29	41	"Y"
29	251	"X"
29	264	"9"
29	394	"8"
29	362	"7"
29	379	"6"
29	418	"5"
29	412	"4"
29	438	"3"
29	141	"22"
29	98	"21"
29	199	"20"
29	538	"2"
29	162	"19"
29	215	"18"
29	213	"17"
29	240	"16"
29	227	"15"
29	237	"14"
29	250	"13"
29	298	"12"
29	386	"11"
29	328	"10"
29	555	"1"
29.1	49	"Y"
29.1	266	"X"
29.1	318	"9"
29.1	391	"8"
29.1	401	"7"
29.1	373	"6"
29.1	429	"5"
29.1	478	"4"
29.1	438	"3"
29.1	121	"22"
29.1	139	"21"
29.1	201	"20"
29.1	619	"2"
29.1	159	"19"
29.1	205	"18"
29.1	197	"17"
29.1	256	"16"
29.1	230	"15"
29.1	219	"14"
29.1	254	"13"
29.1	311	"12"
29.1	352	"11"
29.1	379	"10"
29.1	587	"1"
29.2	54	"Y"
29.2	223	"X"
29.2	288	"9"
29.2	406	"8"
29.2	380	"7"
29.2	393	"6"
29.2	407	"5"
29.2	495	"4"
29.2	465	"3"
29.2	115	"22"
29.2	107	"21"
29.2	204	"20"
29.2	599	"2"
29.2	172	"19"
29.2	205	"18"
29.2	202	"17"
29.2	225	"16"
29.2	193	"15"
29.2	233	"14"
29.2	282	"13"
29.2	313	"12"
29.2	363	"11"
29.2	391	"10"
29.2	556	"1"
29.3	46	"Y"
29.3	262	"X"
29.3	270	"9"
29.3	390	"8"
29.3	402	"7"
29.3	400	"6"
29.3	461	"5"
29.3	474	"4"
29.3	472	"3"
29.3	153	"22"
29.3	115	"21"
29.3	213	"20"
29.3	575	"2"
29.3	168	"19"
29.3	211	"18"
29.3	218	"17"
29.3	263	"16"
29.3	232	"15"
29.3	227	"14"
29.3	254	"13"
29.3	309	"12"
29.3	349	"11"
29.3	377	"10"
29.3	566	"1"
29.4	52	"Y"
29.4	265	"X"
29.4	319	"9"
29.4	369	"8"
29.4	413	"7"
29.4	382	"6"
29.4	438	"5"
29.4	450	"4"
29.4	428	"3"
29.4	139	"22"
29.4	119	"21"
29.4	201	"20"
29.4	584	"2"
29.4	166	"19"
29.4	220	"18"
29.4	221	"17"
29.4	255	"16"
29.4	206	"15"
29.4	224	"14"
29.4	284	"13"
29.4	307	"12"
29.4	371	"11"
29.4	337	"10"
29.4	602	"1"
29.5	49	"Y"
29.5	265	"X"
29.5	292	"9"
29.5	406	"8"
29.5	403	"7"
29.5	406	"6"
29.5	445	"5"
29.5	468	"4"
29.5	470	"3"
29.5	108	"22"
29.5	139	"21"
29.5	184	"20"
29.5	599	"2"
29.5	165	"19"
29.5	202	"18"
29.5	197	"17"
29.5	260	"16"
29.5	227	"15"
29.5	207	"14"
29.5	258	"13"
29.5	314	"12"
29.5	368	"11"
29.5	372	"10"
29.5	583	"1"
29.6	43	"Y"
29.6	290	"X"
29.6	321	"9"
29.6	411	"8"
29.6	387	"7"
29.6	409	"6"
29.6	430	"5"
29.6	459	"4"
29.6	465	"3"
29.6	135	"22"
29.6	141	"21"
29.6	173	"20"
29.6	623	"2"
29.6	167	"19"
29.6	192	"18"
29.6	246	"17"
29.6	231	"16"
29.6	204	"15"
29.6	232	"14"
29.6	238	"13"
29.6	331	"12"
29.6	383	"11"
29.6	339	"10"
29.6	544	"1"
29.7	42	"Y"
29.7	248	"X"
29.7	307	"9"
29.7	432	"8"
29.7	394	"7"
29.7	367	"6"
29.7	430	"5"
29.7	482	"4"
29.7	469	"3"
29.7	127	"22"
29.7	106	"21"
29.7	216	"20"
29.7	614	"2"
29.7	147	"19"
29.7	225	"18"
29.7	239	"17"
29.7	257	"16"
29.7	259	"15"
29.7	230	"14"
29.7	291	"13"
29.7	300	"12"
29.7	365	"11"
29.7	344	"10"
29.7	560	"1"
29.8	41	"Y"
29.8	264	"X"
29.8	282	"9"
29.8	425	"8"
29.8	404	"7"
29.8	389	"6"
29.8	461	"5"
29.8	483	"4"
29.8	464	"3"
29.8	145	"22"
29.8	118	"21"
29.8	203	"20"
29.8	630	"2"
29.8	170	"19"
29.8	214	"18"
29.8	218	"17"
29.8	258	"16"
29.8	226	"15"
29.8	213	"14"
29.8	283	"13"
29.8	298	"12"
29.8	382	"11"
29.8	353	"10"
29.8	574	"1"
29.9	50	"Y"
29.9	266	"X"
29.9	330	"9"
29.9	424	"8"
29.9	458	"7"
29.9	397	"6"
29.9	458	"5"
29.9	450	"4"
29.9	476	"3"
29.9	128	"22"
29.9	112	"21"
29.9	222	"20"
29.9	576	"2"
29.9	158	"19"
29.9	188	"18"
29.9	237	"17"
29.9	239	"16"
29.9	217	"15"
29.9	232	"14"
29.9	277	"13"
29.9	339	"12"
29.9	388	"11"
29.9	381	"10"
29.9	575	"1"
30	56	"Y"
30	256	"X"
30	315	"9"
30	420	"8"
30	391	"7"
30	395	"6"
30	451	"5"
30	469	"4"
30	462	"3"
30	116	"22"
30	111	"21"
30	195	"20"
30	624	"2"
30	176	"19"
30	225	"18"
30	223	"17"
30	265	"16"
30	230	"15"
30	214	"14"
30	278	"13"
30	314	"12"
30	361	"11"
30	350	"10"
30	566	"1"
30.1	49	"Y"
30.1	255	"X"
30.1	349	"9"
30.1	439	"8"
30.1	385	"7"
30.1	393	"6"
30.1	500	"5"
30.1	493	"4"
30.1	470	"3"
30.1	125	"22"
30.1	135	"21"
30.1	215	"20"
30.1	594	"2"
30.1	191	"19"
30.1	214	"18"
30.1	232	"17"
30.1	272	"16"
30.1	235	"15"
30.1	202	"14"
30.1	281	"13"
30.1	324	"12"
30.1	373	"11"
30.1	355	"10"
30.1	550	"1"
30.2	40	"Y"
30.2	282	"X"
30.2	279	"9"
30.2	435	"8"
30.2	394	"7"
30.2	426	"6"
30.2	411	"5"
30.2	458	"4"
30.2	499	"3"
30.2	121	"22"
30.2	121	"21"
30.2	220	"20"
30.2	590	"2"
30.2	158	"19"
30.2	208	"18"
30.2	218	"17"
30.2	266	"16"
30.2	221	"15"
30.2	206	"14"
30.2	292	"13"
30.2	308	"12"
30.2	371	"11"
30.2	387	"10"
30.2	624	"1"
30.3	56	"Y"
30.3	245	"X"
30.3	309	"9"
30.3	407	"8"
30.3	407	"7"
30.3	378	"6"
30.3	405	"5"
30.3	477	"4"
30.3	413	"3"
30.3	135	"22"
30.3	124	"21"
30.3	196	"20"
30.3	654	"2"
30.3	163	"19"
30.3	218	"18"
30.3	235	"17"
30.3	259	"16"
30.3	230	"15"
30.3	220	"14"
30.3	279	"13"
30.3	345	"12"
30.3	380	"11"
30.3	366	"10"
30.3	572	"1"
30.4	39	"Y"
30.4	258	"X"
30.4	300	"9"
30.4	418	"8"
30.4	402	"7"
30.4	397	"6"
30.4	425	"5"
30.4	503	"4"
30.4	497	"3"
30.4	117	"22"
30.4	115	"21"
30.4	205	"20"
30.4	592	"2"
30.4	189	"19"
30.4	222	"18"
30.4	233	"17"
30.4	250	"16"
30.4	219	"15"
30.4	234	"14"
30.4	273	"13"
30.4	329	"12"
30.4	363	"11"
30.4	360	"10"
30.4	522	"1"
30.5	50	"Y"
30.5	273	"X"
30.5	312	"9"
30.5	409	"8"
30.5	429	"7"
30.5	399	"6"
30.5	491	"5"
30.5	482	"4"
30.5	493	"3"
30.5	115	"22"
30.5	129	"21"
30.5	248	"20"
30.5	629	"2"
30.5	155	"19"
30.5	224	"18"
30.5	232	"17"
30.5	250	"16"
30.5	232	"15"
30.5	227	"14"
30.5	286	"13"
30.5	333	"12"
30.5	364	"11"
30.5	378	"10"
30.5	579	"1"
30.6	45	"Y"
30.6	266	"X"
30.6	354	"9"
30.6	401	"8"
30.6	409	"7"
30.6	423	"6"
30.6	462	"5"
30.6	469	"4"
30.6	419	"3"
30.6	146	"22"
30.6	122	"21"
30.6	197	"20"
30.6	585	"2"
30.6	170	"19"
30.6	190	"18"
30.6	233	"17"
30.6	247	"16"
30.6	209	"15"
30.6	219	"14"
30.6	264	"13"
30.6	315	"12"
30.6	385	"11"
30.6	395	"10"
30.6	613	"1"
30.7	52	"Y"
30.7	292	"X"
30.7	296	"9"
30.7	421	"8"
30.7	424	"7"
30.7	401	"6"
30.7	434	"5"
30.7	506	"4"
30.7	460	"3"
30.7	128	"22"
30.7	126	"21"
30.7	220	"20"
30.7	595	"2"
30.7	151	"19"
30.7	243	"18"
30.7	244	"17"
30.7	262	"16"
30.7	245	"15"
30.7	211	"14"
30.7	254	"13"
30.7	299	"12"
30.7	390	"11"
30.7	339	"10"
30.7	588	"1"
30.8	53	"Y"
30.8	292	"X"
30.8	329	"9"
30.8	390	"8"
30.8	410	"7"
30.8	413	"6"
30.8	477	"5"
30.8	489	"4"
30.8	493	"3"
30.8	124	"22"
30.8	98	"21"
30.8	192	"20"
30.8	627	"2"
30.8	172	"19"
30.8	234	"18"
30.8	235	"17"
30.8	263	"16"
30.8	248	"15"
30.8	219	"14"
30.8	273	"13"
30.8	333	"12"
30.8	360	"11"
30.8	363	"10"
30.8	586	"1"
30.9	51	"Y"
30.9	275	"X"
30.9	338	"9"
30.9	402	"8"
30.9	418	"7"
30.9	429	"6"
30.9	465	"5"
30.9	469	"4"
30.9	440	"3"
30.9	127	"22"
30.9	108	"21"
30.9	212	"20"
30.9	603	"2"
30.9	164	"19"
30.9	204	"18"
30.9	261	"17"
30.9	256	"16"
30.9	204	"15"
30.9	253	"14"
30.9	290	"13"
30.9	346	"12"
30.9	371	"11"
30.9	370	"10"
30.9	613	"1"
31	46	"Y"
31	286	"X"
31	328	"9"
31	409	"8"
31	388	"7"
31	413	"6"
31	473	"5"
31	482	"4"
31	462	"3"
31	128	"22"
31	124	"21"
31	202	"20"
31	606	"2"
31	163	"19"
31	227	"18"
31	236	"17"
31	261	"16"
31	238	"15"
31	231	"14"
31	269	"13"
31	347	"12"
31	358	"11"
31	370	"10"
31	609	"1"
31.1	54	"Y"
31.1	263	"X"
31.1	324	"9"
31.1	387	"8"
31.1	438	"7"
31.1	428	"6"
31.1	443	"5"
31.1	466	"4"
31.1	467	"3"
31.1	134	"22"
31.1	108	"21"
31.1	210	"20"
31.1	600	"2"
31.1	187	"19"
31.1	224	"18"
31.1	241	"17"
31.1	235	"16"
31.1	236	"15"
31.1	250	"14"
31.1	288	"13"
31.1	359	"12"
31.1	373	"11"
31.1	422	"10"
31.1	567	"1"
31.2	38	"Y"
31.2	279	"X"
31.2	306	"9"
31.2	454	"8"
31.2	403	"7"
31.2	399	"6"
31.2	433	"5"
31.2	499	"4"
31.2	511	"3"
31.2	140	"22"
31.2	140	"21"
31.2	206	"20"
31.2	585	"2"
31.2	186	"19"
31.2	232	"18"
31.2	225	"17"
31.2	271	"16"
31.2	225	"15"
31.2	237	"14"
31.2	304	"13"
31.2	328	"12"
31.2	365	"11"
31.2	412	"10"
31.2	590	"1"
31.3	49	"Y"
31.3	309	"X"
31.3	337	"9"
31.3	399	"8"
31.3	430	"7"
31.3	396	"6"
31.3	435	"5"
31.3	433	"4"
31.3	481	"3"
31.3	123	"22"
31.3	114	"21"
31.3	227	"20"
31.3	624	"2"
31.3	169	"19"
31.3	213	"18"
31.3	241	"17"
31.3	284	"16"
31.3	221	"15"
31.3	245	"14"
31.3	289	"13"
31.3	377	"12"
31.3	380	"11"
31.3	388	"10"
31.3	608	"1"
31.4	50	"Y"
31.4	262	"X"
31.4	349	"9"
31.4	443	"8"
31.4	389	"7"
31.4	421	"6"
31.4	468	"5"
31.4	487	"4"
31.4	489	"3"
31.4	137	"22"
31.4	132	"21"
31.4	208	"20"
31.4	637	"2"
31.4	170	"19"
31.4	241	"18"
31.4	245	"17"
31.4	234	"16"
31.4	229	"15"
31.4	248	"14"
31.4	285	"13"
31.4	319	"12"
31.4	413	"11"
31.4	360	"10"
31.4	599	"1"
31.5	50	"Y"
31.5	289	"X"
31.5	324	"9"
31.5	409	"8"
31.5	434	"7"
31.5	408	"6"
31.5	459	"5"
31.5	464	"4"
31.5	495	"3"
31.5	127	"22"
31.5	123	"21"
31.5	199	"20"
31.5	599	"2"
31.5	188	"19"
31.5	243	"18"
31.5	245	"17"
31.5	262	"16"
31.5	245	"15"
31.5	222	"14"
31.5	278	"13"
31.5	347	"12"
31.5	389	"11"
31.5	396	"10"
31.5	605	"1"
31.6	53	"Y"
31.6	283	"X"
31.6	302	"9"
31.6	459	"8"
31.6	429	"7"
31.6	407	"6"
31.6	499	"5"
31.6	452	"4"
31.6	511	"3"
31.6	119	"22"
31.6	119	"21"
31.6	229	"20"
31.6	618	"2"
31.6	200	"19"
31.6	239	"18"
31.6	245	"17"
31.6	271	"16"
31.6	247	"15"
31.6	235	"14"
31.6	273	"13"
31.6	326	"12"
31.6	404	"11"
31.6	393	"10"
31.6	595	"1"
31.7	45	"Y"
31.7	299	"X"
31.7	335	"9"
31.7	427	"8"
31.7	435	"7"
31.7	400	"6"
31.7	439	"5"
31.7	492	"4"
31.7	499	"3"
31.7	145	"22"
31.7	133	"21"
31.7	215	"20"
31.7	640	"2"
31.7	163	"19"
31.7	237	"18"
31.7	241	"17"
31.7	244	"16"
31.7	209	"15"
31.7	236	"14"
31.7	274	"13"
31.7	334	"12"
31.7	354	"11"
31.7	372	"10"
31.7	603	"1"
31.8	49	"Y"
31.8	298	"X"
31.8	341	"9"
31.8	418	"8"
31.8	432	"7"
31.8	436	"6"
31.8	493	"5"
31.8	497	"4"
31.8	506	"3"
31.8	134	"22"
31.8	135	"21"
31.8	235	"20"
31.8	605	"2"
31.8	156	"19"
31.8	229	"18"
31.8	263	"17"
31.8	279	"16"
31.8	244	"15"
31.8	241	"14"
31.8	273	"13"
31.8	297	"12"
31.8	374	"11"
31.8	396	"10"
31.8	624	"1"
31.9	44	"Y"
31.9	315	"X"
31.9	338	"9"
31.9	388	"8"
31.9	432	"7"
31.9	396	"6"
31.9	520	"5"
31.9	476	"4"
31.9	474	"3"
31.9	129	"22"
31.9	128	"21"
31.9	221	"20"
31.9	613	"2"
31.9	172	"19"
31.9	215	"18"
31.9	227	"17"
31.9	288	"16"
31.9	236	"15"
31.9	241	"14"
31.9	287	"13"
31.9	338	"12"
31.9	383	"11"
31.9	389	"10"
31.9	640	"1"
32	52	"Y"
32	291	"X"
32	307	"9"
32	410	"8"
32	407	"7"
32	381	"6"
32	454	"5"
32	428	"4"
32	468	"3"
32	125	"22"
32	114	"21"
32	221	"20"
32	663	"2"
32	169	"19"
32	237	"18"
32	239	"17"
32	275	"16"
32	225	"15"
32	261	"14"
32	271	"13"
32	347	"12"
32	369	"11"
32	404	"10"
32	577	"1"
32.1	49	"Y"
32.1	299	"X"
32.1	337	"9"
32.1	406	"8"
32.1	427	"7"
32.1	424	"6"
32.1	468	"5"
32.1	501	"4"
32.1	499	"3"
32.1	130	"22"
32.1	138	"21"
32.1	236	"20"
32.1	602	"2"
32.1	191	"19"
32.1	225	"18"
32.1	258	"17"
32.1	286	"16"
32.1	237	"15"
32.1	237	"14"
32.1	282	"13"
32.1	359	"12"
32.1	420	"11"
32.1	392	"10"
32.1	586	"1"
32.2	56	"Y"
32.2	294	"X"
32.2	313	"9"
32.2	445	"8"
32.2	417	"7"
32.2	377	"6"
32.2	472	"5"
32.2	536	"4"
32.2	505	"3"
32.2	150	"22"
32.2	123	"21"
32.2	239	"20"
32.2	653	"2"
32.2	176	"19"
32.2	254	"18"
32.2	269	"17"
32.2	297	"16"
32.2	259	"15"
32.2	215	"14"
32.2	280	"13"
32.2	329	"12"
32.2	408	"11"
32.2	427	"10"
32.2	616	"1"
32.3	40	"Y"
32.3	279	"X"
32.3	346	"9"
32.3	450	"8"
32.3	397	"7"
32.3	431	"6"
32.3	452	"5"
32.3	507	"4"
32.3	497	"3"
32.3	130	"22"
32.3	135	"21"
32.3	215	"20"
32.3	635	"2"
32.3	188	"19"
32.3	216	"18"
32.3	227	"17"
32.3	263	"16"
32.3	245	"15"
32.3	238	"14"
32.3	281	"13"
32.3	337	"12"
32.3	387	"11"
32.3	418	"10"
32.3	624	"1"
32.4	47	"Y"
32.4	294	"X"
32.4	326	"9"
32.4	455	"8"
32.4	464	"7"
32.4	404	"6"
32.4	486	"5"
32.4	501	"4"
32.4	529	"3"
32.4	140	"22"
32.4	147	"21"
32.4	202	"20"
32.4	630	"2"
32.4	194	"19"
32.4	239	"18"
32.4	232	"17"
32.4	267	"16"
32.4	263	"15"
32.4	230	"14"
32.4	273	"13"
32.4	370	"12"
32.4	435	"11"
32.4	366	"10"
32.4	653	"1"
32.5	60	"Y"
32.5	298	"X"
32.5	317	"9"
32.5	424	"8"
32.5	445	"7"
32.5	427	"6"
32.5	483	"5"
32.5	525	"4"
32.5	505	"3"
32.5	135	"22"
32.5	144	"21"
32.5	219	"20"
32.5	603	"2"
32.5	196	"19"
32.5	243	"18"
32.5	238	"17"
32.5	284	"16"
32.5	232	"15"
32.5	222	"14"
32.5	279	"13"
32.5	361	"12"
32.5	409	"11"
32.5	398	"10"
32.5	623	"1"
32.6	61	"Y"
32.6	289	"X"
32.6	335	"9"
32.6	415	"8"
32.6	409	"7"
32.6	455	"6"
32.6	488	"5"
32.6	546	"4"
32.6	485	"3"
32.6	131	"22"
32.6	121	"21"
32.6	217	"20"
32.6	612	"2"
32.6	183	"19"
32.6	254	"18"
32.6	235	"17"
32.6	290	"16"
32.6	261	"15"
32.6	248	"14"
32.6	266	"13"
32.6	336	"12"
32.6	421	"11"
32.6	395	"10"
32.6	600	"1"
32.7	55	"Y"
32.7	279	"X"
32.7	329	"9"
32.7	389	"8"
32.7	457	"7"
32.7	408	"6"
32.7	506	"5"
32.7	505	"4"
32.7	440	"3"
32.7	151	"22"
32.7	155	"21"
32.7	217	"20"
32.7	624	"2"
32.7	171	"19"
32.7	232	"18"
32.7	257	"17"
32.7	289	"16"
32.7	246	"15"
32.7	231	"14"
32.7	292	"13"
32.7	333	"12"
32.7	430	"11"
32.7	412	"10"
32.7	636	"1"
32.8	46	"Y"
32.8	309	"X"
32.8	336	"9"
32.8	431	"8"
32.8	464	"7"
32.8	444	"6"
32.8	513	"5"
32.8	521	"4"
32.8	512	"3"
32.8	150	"22"
32.8	127	"21"
32.8	244	"20"
32.8	636	"2"
32.8	186	"19"
32.8	213	"18"
32.8	233	"17"
32.8	272	"16"
32.8	301	"15"
32.8	227	"14"
32.8	292	"13"
32.8	359	"12"
32.8	413	"11"
32.8	429	"10"
32.8	663	"1"
32.9	56	"Y"
32.9	317	"X"
32.9	343	"9"
32.9	422	"8"
32.9	423	"7"
32.9	426	"6"
32.9	519	"5"
32.9	495	"4"
32.9	514	"3"
32.9	160	"22"
32.9	144	"21"
32.9	217	"20"
32.9	620	"2"
32.9	189	"19"
32.9	209	"18"
32.9	237	"17"
32.9	282	"16"
32.9	262	"15"
32.9	243	"14"
32.9	286	"13"
32.9	364	"12"
32.9	415	"11"
32.9	405	"10"
32.9	651	"1"
33	54	"Y"
33	313	"X"
33	342	"9"
33	444	"8"
33	439	"7"
33	403	"6"
33	506	"5"
33	521	"4"
33	525	"3"
33	135	"22"
33	133	"21"
33	221	"20"
33	665	"2"
33	177	"19"
33	234	"18"
33	257	"17"
33	282	"16"
33	275	"15"
33	235	"14"
33	297	"13"
33	339	"12"
33	399	"11"
33	419	"10"
33	703	"1"
33.1	57	"Y"
33.1	303	"X"
33.1	357	"9"
33.1	409	"8"
33.1	477	"7"
33.1	404	"6"
33.1	475	"5"
33.1	537	"4"
33.1	540	"3"
33.1	139	"22"
33.1	125	"21"
33.1	221	"20"
33.1	635	"2"
33.1	195	"19"
33.1	222	"18"
33.1	256	"17"
33.1	270	"16"
33.1	237	"15"
33.1	255	"14"
33.1	290	"13"
33.1	382	"12"
33.1	370	"11"
33.1	375	"10"
33.1	671	"1"
33.2	61	"Y"
33.2	290	"X"
33.2	362	"9"
33.2	485	"8"
33.2	405	"7"
33.2	472	"6"
33.2	498	"5"
33.2	467	"4"
33.2	507	"3"
33.2	130	"22"
33.2	136	"21"
33.2	245	"20"
33.2	631	"2"
33.2	209	"19"
33.2	248	"18"
33.2	245	"17"
33.2	291	"16"
33.2	248	"15"
33.2	260	"14"
33.2	287	"13"
33.2	336	"12"
33.2	413	"11"
33.2	407	"10"
33.2	640	"1"
33.3	55	"Y"
33.3	294	"X"
33.3	324	"9"
33.3	450	"8"
33.3	467	"7"
33.3	415	"6"
33.3	538	"5"
33.3	477	"4"
33.3	518	"3"
33.3	148	"22"
33.3	143	"21"
33.3	224	"20"
33.3	677	"2"
33.3	201	"19"
33.3	248	"18"
33.3	228	"17"
33.3	310	"16"
33.3	250	"15"
33.3	242	"14"
33.3	286	"13"
33.3	355	"12"
33.3	436	"11"
33.3	395	"10"
33.3	591	"1"
33.4	46	"Y"
33.4	325	"X"
33.4	349	"9"
33.4	411	"8"
33.4	476	"7"
33.4	438	"6"
33.4	534	"5"
33.4	469	"4"
33.4	499	"3"
33.4	137	"22"
33.4	151	"21"
33.4	234	"20"
33.4	663	"2"
33.4	179	"19"
33.4	229	"18"
33.4	261	"17"
33.4	321	"16"
33.4	242	"15"
33.4	258	"14"
33.4	250	"13"
33.4	379	"12"
33.4	410	"11"
33.4	428	"10"
33.4	657	"1"
33.5	46	"Y"
33.5	260	"X"
33.5	341	"9"
33.5	423	"8"
33.5	476	"7"
33.5	437	"6"
33.5	469	"5"
33.5	510	"4"
33.5	556	"3"
33.5	150	"22"
33.5	139	"21"
33.5	228	"20"
33.5	648	"2"
33.5	187	"19"
33.5	243	"18"
33.5	250	"17"
33.5	279	"16"
33.5	248	"15"
33.5	265	"14"
33.5	286	"13"
33.5	361	"12"
33.5	412	"11"
33.5	395	"10"
